stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone,wheelchair_boarding,stop_lon,stop_lat
9100CRSTRS2,CRS,Carstairs Platform 2,3,,,0,910GCRSTRS,2,Europe/London,2,-3.668466894,55.69103438
9100CUMBRAE,CUL,CUMBRAE,0,,,0,910GCUMBRAE,,Europe/London,0,-4.903720306156337,55.780962022845664
9100DALMUIR1,DMR,Dalmuir Platform 1,1,,,0,910GDALMUIR,1,Europe/London,1,-4.426678018,55.91191657
9100DALMUIR2,DMR,Dalmuir Platform 2,1,,,0,910GDALMUIR,2,Europe/London,1,-4.426678018,55.91191657
9100DALS4,DLJ,Dalston Junction Platform 4,1,,,0,910GDALS,4,Europe/London,1,-0.076215,51.544513
9100DALWHIN1,DLW,Dalwhinnie Platform 1,0,,,0,910GDALWHIN,1,Europe/London,1,-4.246197968,56.93515882
9100DALWHIN2,DLW,Dalwhinnie Platform 2,0,,,0,910GDALWHIN,2,Europe/London,1,-4.246197968,56.93515882
9100DMBRTNC1,DBC,Dumbarton Central Platform 1,1,,,0,910GDMBRTNC,1,Europe/London,1,-4.566905428,55.94664381
9100DMBRTNC2,DBC,Dumbarton Central Platform 2,1,,,0,910GDMBRTNC,2,Europe/London,1,-4.566905428,55.94664381
9100DRBY,DBY,Derby,2,,,0,910GDRBY,,Europe/London,1,-1.463073262,52.91618036
9100DUFIELD,DFI,Duffield,1,,,0,910GDUFIELD,,Europe/London,2,-1.486035917,52.98774917
9100DUNANE1,DBL,Dunblane Platform 1,1,,,0,910GDUNANE,1,Europe/London,1,-3.965483792,56.18587463
9100DUNANE2,DBL,Dunblane Platform 2,1,,,0,910GDUNANE,2,Europe/London,1,-3.965483792,56.18587463
9100DUNDETB1,DEE,Dundee Platform 1,2,,,0,910GDUNDETB,1,Europe/London,1,-2.971204807,56.45647618
9100DUNDETB4,DEE,Dundee Platform 4,2,,,0,910GDUNDETB,4,Europe/London,1,-2.971204807,56.45647618
9100DUNKELD1,DKD,Dunkeld & Birnam Platform 1,0,,,0,910GDUNKELD,1,Europe/London,2,-3.578399065,56.5570421
9100EBOLDON,EBL,EAST BOLDON,0,,,0,910GEBOLDON,,Europe/London,0,-1.420777077591685,54.94677519383353
9100EDINBUR11,EDB,Edinburgh Platform 11,3,,,0,910GEDINBUR,11,Europe/London,1,-3.188221921,55.95238716
9100EDINBUR2,EDB,Edinburgh Platform 2,3,,,0,910GEDINBUR,2,Europe/London,1,-3.188221921,55.95238716
9100EDINBUR7,EDB,Edinburgh Platform 7,3,,,0,910GEDINBUR,7,Europe/London,1,-3.188221921,55.95238716
9100EMPKAIR,EMA,East Mids Airport via DBY,1,,,0,910GEMPKAIR,,Europe/London,0,-1.3305921082686911,52.82873724531979
9100EUSTON1,EUS,London Euston Platform 1,3,,,0,910GEUSTON,1,Europe/London,1,-0.134558479,51.52837626
9100EUSTON15,EUS,London Euston Platform 15,3,,,0,910GEUSTON,15,Europe/London,1,-0.134558479,51.52837626
9100EXETRSD3,EXD,Exeter St David's Platform 3,2,,,0,910GEXETRSD,3,Europe/London,1,-3.543660789,50.72915216
9100FALKRKG1,FKG,Falkirk Grahamston Platform 1,2,,,0,910GFALKRKG,1,Europe/London,2,-3.785040515,56.0026016
9100FELL,FEG,FELLGATE METRO,0,,,0,910GFELL,,Europe/London,0,-1.4877783871068389,54.95696074821959
9100FRTWLM1,FTW,Fort William Platform 1,1,,,0,910GFRTWLM,1,Europe/London,1,-5.106134421,56.82042348
9100FRTWLM2,FTW,Fort William Platform 2,1,,,0,910GFRTWLM,2,Europe/London,1,-5.106134421,56.82042348
9100GLGC1,GLC,Glasgow Central Platform 1,3,,,0,910GGLGC,1,Europe/London,1,-4.257636004,55.85974143
9100GLGQLL8,GLQ,Glasgow Queen Street Platform 8,9,,,0,910GGLGQLL,8,Europe/London,1,-4.250657943,55.86232293
9100GLNEGLS1,GLE,Gleneagles Platform 1,0,,,0,910GGLNEGLS,1,Europe/London,1,-3.731158525,56.27483656
9100GLNEGLS2,GLE,Gleneagles Platform 2,0,,,0,910GGLNEGLS,2,Europe/London,1,-3.731158525,56.27483656
9100GRLCHHD1,GCH,Garelochhead Platform 1,0,,,0,910GGRLCHHD,1,Europe/London,2,-4.825707052,56.07984842
9100GRLCHHD2,GCH,Garelochhead Platform 2,0,,,0,910GGRLCHHD,2,Europe/London,2,-4.825707052,56.07984842
9100HAGGERS2,HGG,Haggerston Platform 2,0,,,0,910GHAGGERS,2,Europe/London,1,-0.076443,51.539121
9100HEWOMTR,HEW,Heworth,9,,,0,910GHEWOMTR,,Europe/London,1,-1.555768445,54.95156601
9100HIGHBYE1,HHY,Highbury & Islington Platform 1,9,,,0,910GHIGHBYE,1,Europe/London,1,-0.1020766012,51.546739948
9100HIGHBYE2,HHY,Highbury & Islington Platform 2,9,,,0,910GHIGHBYE,2,Europe/London,1,-0.1020766012,51.546739948
9100HLNSBRU1,HLU,Helensburgh Upper Platform 1,0,,,0,910GHLNSBRU,1,Europe/London,1,-4.729792381,56.01234544
9100HOXTON2,HOX,Hoxton Platform 2,0,,,0,910GHOXTON,2,Europe/London,1,-0.076746,51.531932
9100HTRWAPT2,HXX,Heathrow Terminals 2 & 3 (Rail Station Only) Platform 2,1,,,0,910GHTRWAPT,2,Europe/London,1,-0.45072,51.47273
9100HTRWTM53,HWV,Heathrow Terminal 5 (Rail Station Only) Platform 3,0,,,0,910GHTRWTM5,3,Europe/London,1,-0.4905807301,51.4700565929
9100HTRWTM54,HWV,Heathrow Terminal 5 (Rail Station Only) Platform 4,0,,,0,910GHTRWTM5,4,Europe/London,1,-0.4905807301,51.4700565929
9100IVRKTHG1,INK,Inverkeithing Platform 1,2,,,0,910GIVRKTHG,1,Europe/London,1,-3.396186138,56.03466521
9100IVRNESS2,INV,Inverness Platform 2,1,,,0,910GIVRNESS,2,Europe/London,1,-4.223186338,57.48010225
9100KCLD1,KDY,Kirkcaldy Platform 1,1,,,0,910GKCLD,1,Europe/London,1,-3.1670206,56.11204798
9100KGUSSIE1,KIN,Kingussie Platform 1,1,,,0,910GKGUSSIE,1,Europe/London,2,-4.052184734,57.07776559
9100KGUSSIE2,KIN,Kingussie Platform 2,1,,,0,910GKGUSSIE,2,Europe/London,2,-4.052184734,57.07776559
9100LARGS,LAR,Largs,1,,,0,910GLARGS,,Europe/London,1,-4.867191898,55.79272838
9100LEUCHRS1,LEU,Leuchars (for St. Andrews) Platform 1,1,,,0,910GLEUCHRS,1,Europe/London,1,-2.89371168,56.37509038
9100LISKARD2,LSK,Liskeard Platform 2,1,,,0,910GLISKARD,2,Europe/London,0,-4.467498917,50.44684832
9100MONTRSE1,MTS,Montrose Platform 1,1,,,0,910GMONTRSE,1,Europe/London,1,-2.472074707,56.71278581
9100MONTRSE2,MTS,Montrose Platform 2,1,,,0,910GMONTRSE,2,Europe/London,1,-2.472074707,56.71278581
9100MOTHRWL1,MTH,Motherwell Platform 1,2,,,0,910GMOTHRWL,1,Europe/London,1,-3.994311557,55.79166603
9100NABT3,NTA,Newton Abbot Platform 3,2,,,0,910GNABT,3,Europe/London,1,-3.599193375,50.52956986
9100NEWBURY2,NBY,Newbury Platform 2,1,,,0,910GNEWBURY,2,Europe/London,1,-1.322862459,51.39764427
9100NEWXGEL1,NXG,New Cross Gate Platform 1,9,,,0,910GNEWXGEL,1,Europe/London,1,-0.0403846644,51.475311265
9100NWCSTLL,NCZ,NEWCASTLE(METRO),3,,,0,910GNWCSTLL,,Europe/London,0,-1.6172815408393848,54.9682205273751
9100NWTM1,NWR,Newtonmore Platform 1,0,,,0,910GNWTM,1,Europe/London,1,-4.119103389,57.05912906
9100PADTON1,PAD,London Paddington Platform 1,3,,,0,910GPADTON,1,Europe/London,1,-0.176844743,51.51645141
