from_stop_id,to_stop_id,transfer_type,min_transfer_time,mode,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
910GGLGC,910GGLGQLL,2,300,BUS|WALK,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GGLGQLL,910GGLGC,2,300,BUS|WALK,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GGLGQLL,910GGLGQLL,2,600,,,,,,,,,,,,
910GGLNEGLS,910GGLNEGLS,2,300,,,,,,,,,,,,
910GGLNRTHS,910GGLNRTHS,2,300,,,,,,,,,,,,
910GGORASTR,910GGORASTR,2,300,,,,,,,,,,,,
910GGRLCHHD,910GGRLCHHD,2,300,,,,,,,,,,,,
910GHAGGERS,910GHAGGERS,2,300,,,,,,,,,,,,
910GHAYMRKT,910GHAYMRKT,2,300,,,,,,,,,,,,
910GHEWOMTR,910GHEWOMTR,2,300,,,,,,,,,,,,
910GHIGHBYE,910GEUSTON,2,960,TUBE,05:29:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GHIGHBYE,910GHIGHBYE,2,300,,,,,,,,,,,,
910GHLNSBRU,910GHLNSBRU,2,300,,,,,,,,,,,,
910GHOXTON,910GHOXTON,2,300,,,,,,,,,,,,
910GHROW,910GHROW,2,300,,,,,,,,,,,,
910GHROW,910GPADTON,2,2400,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GHTRWAPT,910GHTRWAPT,2,120,,,,,,,,,,,,
910GHTRWAPT,910GHTRWTM5,2,1020,TRANSFER,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GHTRWTM5,910GHTRWAPT,2,1020,TRANSFER,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GHTRWTM5,910GHTRWTM5,2,300,,,,,,,,,,,,
910GHUNGRFD,910GHUNGRFD,2,300,,,,,,,,,,,,
910GIVRKTHG,910GIVRKTHG,2,300,,,,,,,,,,,,
910GIVRNESS,910GIVRNESS,2,300,,,,,,,,,,,,
910GIVYBDGE,910GIVYBDGE,2,300,,,,,,,,,,,,
910GKCLD,910GKCLD,2,300,,,,,,,,,,,,
910GKGUSSIE,910GKGUSSIE,2,300,,,,,,,,,,,,
910GLADYBNK,910GLADYBNK,2,300,,,,,,,,,,,,
910GLANCSTR,910GLANCSTR,2,360,,,,,,,,,,,,
910GLARGS,910GLARGS,2,900,,,,,,,,,,,,
910GLCHTNJ,910GLCHTNJ,2,300,,,,,,,,,,,,
910GLCKRBIE,910GLCKRBIE,2,300,,,,,,,,,,,,
910GLENZIE,910GLENZIE,2,180,,,,,,,,,,,,
910GLEUCHRS,910GLEUCHRS,2,300,,,,,,,,,,,,
910GLISKARD,910GLISKARD,2,360,,,,,,,,,,,,
910GLNGBKBY,910GLNGBKBY,2,300,,,,,,,,,,,,
910GLNLTHGW,910GLNLTHGW,2,300,,,,,,,,,,,,
910GLRNCKRK,910GLRNCKRK,2,300,,,,,,,,,,,,
910GLSTWTHL,910GLSTWTHL,2,300,,,,,,,,,,,,
910GMDNHEAD,910GMDNHEAD,2,180,,,,,,,,,,,,
910GMKNSCEN,910GMKNSCEN,2,300,,,,,,,,,,,,
910GMONTRSE,910GMONTRSE,2,300,,,,,,,,,,,,
910GMOTHRWL,910GMOTHRWL,2,300,,,,,,,,,,,,
910GMRYHILL,910GMRYHILL,2,300,,,,,,,,,,,,
910GNABT,910GNABT,2,300,,,,,,,,,,,,
910GNEWBURY,910GNEWBURY,2,300,,,,,,,,,,,,
910GNEWXGEL,910GNEWXGEL,2,240,,,,,,,,,,,,
910GNMPTN,910GNMPTN,2,300,,,,,,,,,,,,
910GNNTN,910GNNTN,2,300,,,,,,,,,,,,
910GNWCSTLL,910GNWCSTLL,2,60,,,,,,,,,,,,
910GNWTLEJ,910GNWTLEJ,2,300,,,,,,,,,,,,
910GNWTM,910GNWTM,2,300,,,,,,,,,,,,
910GOXENHLM,910GOXENHLM,2,300,,,,,,,,,,,,
